zone_id,arrondissement_name,casa_centroid_lat,casa_centroid_lon,casa_lat_min,casa_lat_max,casa_lon_min,casa_lon_max,adjacent_zones
1,Ain Chock,33.4825,-7.6595,33.45,33.515,-7.72,-7.599,"2,4,5"
2,Sidi Othmane,33.4825,-7.579,33.45,33.515,-7.599,-7.559,"1,3,5,6,7"
3,Sidi Moumen,33.4825,-7.5195,33.45,33.515,-7.559,-7.48,"2,7"
4,Hay Hassani,33.53,-7.665,33.515,33.545,-7.72,-7.61,"1,5,8,9"
5,Sbata,33.53,-7.59,33.515,33.545,-7.61,-7.57,"1,2,4,6,9,10"
6,Ben Msik,33.53,-7.55,33.515,33.545,-7.57,-7.53,"2,5,7,10,11,12"
7,Moulay Rachid,33.53,-7.505,33.515,33.545,-7.53,-7.48,"2,3,6,12"
8,Maarif,33.5775,-7.7015,33.545,33.61,-7.72,-7.683,"4,9,13,14"
9,Al Fida,33.5775,-7.663,33.545,33.61,-7.683,-7.643,"4,5,8,10,13,14"
10,Mers Sultan,33.5775,-7.625,33.545,33.61,-7.643,-7.607,"5,6,9,11,14,15"
11,Roches Noires,33.5775,-7.5825,33.545,33.61,-7.607,-7.558,"6,10,12,15,16"
12,Hay Mohammadi,33.5775,-7.519,33.545,33.61,-7.558,-7.48,"6,7,11,15,16"
13,Anfa,33.645,-7.7,33.61,33.68,-7.72,-7.68,"8,9,14"
14,Sidi Belyout,33.645,-7.632,33.61,33.68,-7.68,-7.584,"8,9,10,13,15"
15,Ain Sebaa,33.645,-7.552,33.61,33.68,-7.584,-7.52,"10,11,12,14,16"
16,Sidi Bernoussi,33.645,-7.5,33.61,33.68,-7.52,-7.48,"11,12,15"
