zone_id,arrondissement_name,casa_lat_min,casa_lat_max,casa_lon_min,casa_lon_max,casa_centroid_lat,casa_centroid_lon,adjacent_zones
1,Ain Chock,33.45,33.515,-7.72,-7.596,33.4825,-7.658,2;4;5
2,Sidi Othmane,33.45,33.515,-7.596,-7.556,33.4825,-7.576,1;3;5;6;7
3,Sidi Moumen,33.45,33.515,-7.556,-7.48,33.4825,-7.518,2;7
4,Hay Hassani,33.515,33.545,-7.72,-7.611,33.53,-7.6655,1;5;8;9
5,Sbata,33.515,33.545,-7.611,-7.571,33.53,-7.591,1;2;4;6;9;10
6,Ben Msik,33.515,33.545,-7.571,-7.531,33.53,-7.551,2;5;7;10;11;12
7,Moulay Rachid,33.515,33.545,-7.531,-7.48,33.53,-7.5055,2;3;6;12
8,Maarif,33.545,33.61,-7.72,-7.665,33.5775,-7.6925,4;9;13;14
9,Al Fida,33.545,33.61,-7.665,-7.626,33.5775,-7.6455,4;5;8;10;13;14
10,Mers Sultan,33.545,33.61,-7.626,-7.587,33.5775,-7.6065,5;6;9;11;14;15
11,Roches Noires,33.545,33.61,-7.587,-7.547,33.5775,-7.567,6;10;12;15;16
12,Hay Mohammadi,33.545,33.61,-7.547,-7.48,33.5775,-7.5135,6;7;11;15;16
13,Anfa,33.61,33.68,-7.72,-7.64,33.645,-7.68,8;9;14
14,Sidi Belyout,33.61,33.68,-7.64,-7.578,33.645,-7.609,8;9;10;13;15
15,Ain Sebaa,33.61,33.68,-7.578,-7.538,33.645,-7.558,10;11;12;14;16
16,Sidi Bernoussi,33.61,33.68,-7.538,-7.48,33.645,-7.509,11;12;15
